corpus,skill,score,recommendation,rule_id,severity,confidence,file,line,matched
nautilai,autodev/skills/autodev,0,SAFE,,,,,,
nautilai,cc-adoption-audit/skills/cc-adoption-audit,37,CAUTION,AS1,HIGH,0.85,SKILL.md,32,Grep require absolute paths and do **not** expand `~` or `$HOME`. Use that resol
nautilai,cc-adoption-audit/skills/cc-adoption-audit,37,CAUTION,AS1,HIGH,0.9,SKILL.md,34,/.claude/settings.json
nautilai,cc-adoption-audit/skills/cc-adoption-audit,37,CAUTION,E1,MEDIUM,0.5,SKILL.md,26,https://api.github.com/
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AS1,HIGH,0.85,SKILL.md,227,find this skill twice.** This skill ships inside the `cc-skill-audit` plugin (`~
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AS3,MEDIUM,0.85,SKILL.md,27,ls (`.claude/skills
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AS3,MEDIUM,0.85,SKILL.md,28,ls (`~/.claude/skills
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AS3,MEDIUM,0.85,SKILL.md,30,ls (same `~/.claude/skills
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AS3,MEDIUM,0.85,SKILL.md,227,find this skill twice.** This skill ships inside the `cc-skill-audit` plugin (`~
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AS3,MEDIUM,0.85,scripts/workflow.js,98,"ls (scope ""global"" = ~/.claude/skills, ""project"" = repo .claude/skills"
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,AR2,HIGH,0.255,references/audit-checklist.md,106,Don't judge
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,EA2,MEDIUM,0.75,SKILL.md,231,without confirmation
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,P1,HIGH,0.24,references/security-checks.md,76,ignore previous instructions
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,RA2,MEDIUM,0.6,SKILL.md,45,write a description for better trigger reliability - Restructure a SKILL.md that
nautilai,cc-skill-audit/skills/cc-skill-audit,68,DO_NOT_INSTALL,SC2,HIGH,0.27,references/security-checks.md,47,curl … | bash
nautilai,cc-validate-hooks/skills/cc-validate-hooks,22,CAUTION,AS1,HIGH,0.9,SKILL.md,3,~/.claude/settings.json
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,SKILL.md,19,--no-verify
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,workflows/commit.md,128,--no-verify
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,workflows/commit.md,129,--no-verify
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,workflows/commit.md,133,--no-verify
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,workflows/push.md,84,--no-verify
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,workflows/push.md,85,--no-verify
nautilai,commitcraft/skills/commitcraft,18,SAFE,TM1,HIGH,0.75,workflows/push.md,89,--no-verify
nautilai,dep-review/skills/dep-review,0,SAFE,,,,,,
nautilai,frontend-review/skills/react-component-architecture,36,CAUTION,LP1,HIGH,0.75,scripts/architecture_reporter.py,1,
nautilai,frontend-review/skills/react-component-architecture,36,CAUTION,LP1,HIGH,0.75,scripts/folder_structure_validator.py,1,
nautilai,frontend-review/skills/tailwind-design-token-validator,39,CAUTION,AST4,MEDIUM,0.7,scripts/analyze_tailwind_config.py,103,"result = subprocess.run( ['node', '-e', node_script, str(self.config_path.absolu"
nautilai,frontend-review/skills/tailwind-design-token-validator,39,CAUTION,LP1,HIGH,0.75,scripts/analyze_tailwind_config.py,1,
nautilai,frontend-review/skills/tailwind-design-token-validator,39,CAUTION,E3,MEDIUM,0.5,scripts/scan_components.py,37,Recursively find all files
